Rank,Domain,Linking Root Domains,Domain Authority
1,microsoft.com,"36,16,198",100
2,apple.com,"42,22,310",100
3,www.google.com,"1,00,02,840",100
4,youtube.com,"1,59,89,796",99
5,play.google.com,"20,58,260",99
6,www.blogger.com,"2,16,17,691",99
7,support.google.com,"35,68,950",99
8,plus.google.com,"1,35,77,555",99
9,mozilla.org,"16,62,038",98
10,sites.google.com,"14,91,950",98
11,adobe.com,"30,65,812",98
12,en.wikipedia.org,"50,32,130",98
13,docs.google.com,"20,01,301",98
14,accounts.google.com,"25,23,516",98
15,wordpress.org,"87,13,998",98
16,github.com,"15,77,174",97
17,linkedin.com,"76,01,735",97
18,maps.google.com,"41,46,789",97
19,drive.google.com,"14,30,697",97
20,youtu.be,"33,49,235",97
21,googleusercontent.com,"19,99,166",97
22,vimeo.com,"29,25,748",97
23,creativecommons.org,"14,01,667",97
24,uol.com.br,"5,14,446",96
25,cloudflare.com,"29,35,786",96
26,europa.eu,"14,80,025",96
27,istockphoto.com,"27,10,988",96
28,live.com,"7,07,873",96
29,amazon.com,"37,82,367",96
30,bp.blogspot.com,"1,41,01,609",96
31,vk.com,"15,47,098",96
32,dailymotion.com,"10,55,321",96
33,bbc.co.uk,"13,65,656",96
34,mediafire.com,"7,01,895",95
35,scribd.com,"5,96,058",95
36,usatoday.com,"5,92,540",95
37,google.com.br,"2,55,584",95
38,developers.google.com,"8,13,606",95
39,cnn.com,"11,36,413",95
40,wikimedia.org,"12,49,306",95
41,bbc.com,"5,68,471",95
42,imdb.com,"11,78,391",95
43,paypal.com,"8,21,818",95
44,forbes.com,"8,26,977",95
45,feedburner.com,"16,85,445",95
46,google.co.jp,"6,25,533",95
47,nih.gov,"9,21,232",95
48,opera.com,"6,75,217",95
49,mail.google.com,"3,99,882",95
50,line.me,"4,35,505",95
51,facebook.com,"4,35,00,924",95
52,w3.org,"10,09,203",95
53,news.yahoo.com,"5,47,458",95
54,gstatic.com,"5,32,390",95
55,photos.google.com,"2,18,807",95
56,amazon.co.jp,"7,22,250",95
57,whatsapp.com,"8,92,270",95
58,msn.com,"9,53,802",95
59,nytimes.com,"15,76,913",95
60,change.org,"3,51,540",95
61,es.wikipedia.org,"6,86,668",95
62,google.de,"11,47,671",95
63,theguardian.com,"11,15,042",95
64,www.yahoo.com,"9,12,329",95
65,mail.ru,"4,70,957",95
66,hugedomains.com,"55,44,178",95
67,pt.wikipedia.org,"3,31,856",95
68,dropbox.com,"8,72,512",95
69,myspace.com,"12,58,697",95
70,news.google.com,"6,17,544",95
71,medium.com,"9,06,124",95
72,fr.wikipedia.org,"4,91,893",95
73,google.co.uk,"5,68,155",95
74,reuters.com,"6,75,484",95
75,google.es,"4,11,464",95
76,cnet.com,"5,11,844",95
77,slideshare.net,"8,12,346",95
78,oracle.com,"4,65,468",94
79,time.com,"5,92,458",94
80,policies.google.com,"6,05,537",94
81,translate.google.com,"2,61,570",94
82,picasaweb.google.com,"6,28,985",94
83,apache.org,"6,78,293",94
84,booking.com,"3,29,912",94
85,bing.com,"9,37,477",94
86,terra.com.br,"1,82,867",94
87,goo.gl,"40,22,640",94
88,engadget.com,"3,87,360",94
89,fb.com,"2,84,990",94
90,bloomberg.com,"6,15,779",94
91,ok.ru,"2,96,552",94
92,abcnews.go.com,"4,53,969",94
93,nasa.gov,"5,04,682",94
94,buydomains.com,"12,40,394",94
95,amazon.de,"4,75,252",94
96,tools.google.com,"13,96,359",94
97,google.fr,"3,95,984",94
98,techcrunch.com,"3,56,869",94
99,wired.com,"5,05,225",94
100,ebay.com,"8,59,564",94
101,rakuten.co.jp,"5,60,662",94
102,aliexpress.com,"3,36,831",94
103,myaccount.google.com,"2,10,682",94
104,youronlinechoices.com,"4,63,598",94
105,goodreads.com,"5,87,493",94
106,wikia.com,"4,67,756",94
107,draft.blogger.com,"48,99,297",94
108,tinyurl.com,"11,60,123",94
109,gnu.org,"4,99,793",94
110,cbsnews.com,"3,96,340",94
111,www.wix.com,"7,17,156",94
112,de.wikipedia.org,"5,79,306",94
113,google.ru,"1,70,418",94
114,networkadvertising.org,"7,51,551",94
